Equipo,Peso,Tipo_Equipo,Fecha,Resultado_1X2,avg_Goles_esperados_(xG)_total,avg_Posesión_total,avg_Remates_a_puerta_total,avg_Córneres_total,avg_Tarjetas_amarillas_total,avg_Faltas_total,avg_Paradas_total,avg_Pases_Pct_total,avg_Pases_Exitosos_total,avg_Goles_total,avg_Ptos_total,avg_xGA_total,avg_xG_Share_total,avg_Remates_Puerta_Share_total,avg_Corneres_Share_total,avg_Paradas_Share_total,avg_Pases_Exitosos_Share_total,avg_Goles_Share_total,avg_Puntos_Share_total,avg_Valor_Mercado_Millones_Eur_Share_total,avg_h2h_win_rate_total,avg_h2h_goles_avg_total,avg__sentinel_total,avg_Puntos_total,avg_Goles_esperados_(xG)_2,avg_Posesión_2,avg_Remates_a_puerta_2,avg_Córneres_2,avg_Tarjetas_amarillas_2,avg_Faltas_2,avg_Paradas_2,avg_Pases_Pct_2,avg_Pases_Exitosos_2,avg_Goles_2,avg_Ptos_2,avg_xGA_2,avg_xG_Share_2,avg_Remates_Puerta_Share_2,avg_Corneres_Share_2,avg_Paradas_Share_2,avg_Pases_Exitosos_Share_2,avg_Goles_Share_2,avg_Puntos_Share_2,avg_Valor_Mercado_Millones_Eur_Share_2,avg_h2h_win_rate_2,avg_h2h_goles_avg_2,avg__sentinel_2,avg_Puntos_2,avg_Goles_esperados_(xG)_3,avg_Posesión_3,avg_Remates_a_puerta_3,avg_Córneres_3,avg_Tarjetas_amarillas_3,avg_Faltas_3,avg_Paradas_3,avg_Pases_Pct_3,avg_Pases_Exitosos_3,avg_Goles_3,avg_Ptos_3,avg_xGA_3,avg_xG_Share_3,avg_Remates_Puerta_Share_3,avg_Corneres_Share_3,avg_Paradas_Share_3,avg_Pases_Exitosos_Share_3,avg_Goles_Share_3,avg_Puntos_Share_3,avg_Valor_Mercado_Millones_Eur_Share_3,avg_h2h_win_rate_3,avg_h2h_goles_avg_3,avg__sentinel_3,avg_Puntos_3,avg_Goles_esperados_(xG)_5,avg_Posesión_5,avg_Remates_a_puerta_5,avg_Córneres_5,avg_Tarjetas_amarillas_5,avg_Faltas_5,avg_Paradas_5,avg_Pases_Pct_5,avg_Pases_Exitosos_5,avg_Goles_5,avg_Ptos_5,avg_xGA_5,avg_xG_Share_5,avg_Remates_Puerta_Share_5,avg_Corneres_Share_5,avg_Paradas_Share_5,avg_Pases_Exitosos_Share_5,avg_Goles_Share_5,avg_Puntos_Share_5,avg_Valor_Mercado_Millones_Eur_Share_5,avg_h2h_win_rate_5,avg_h2h_goles_avg_5,avg__sentinel_5,avg_Puntos_5,clean_sheet_rate_5,trend_xG_5,forma_vs_historia,Puntos,Valor_Mercado_Millones_Eur
Uzbekistán,0.7,Visitante,2026-06-23 00:01:00,1,1.6992121212121212,0.5148484848484848,5.027272727272727,5.551515151515151,1.6939393939393939,12.496969696969696,1.9787878787878788,0.7835757575757576,376.06666666666666,1.7272727272727273,1.9090909090909092,0.9363333333333334,0.6300116812612392,0.6081440160317166,0.6300566189603622,0.3836283370339098,0.516530177664479,0.6641414141414141,0.5180848973669829,0.7792039932294541,0.404040404040404,1.6171717171717173,0.0,1382.3051515151515,0.705,0.365,2.0,2.5,1.0,14.5,2.5,0.78,252.5,0.5,0.0,2.105,0.2532459307112547,0.25757575757575757,0.41428571428571415,0.5833333333333334,0.3360296497530072,0.125,0.4588639678975752,0.14908745280582988,0.3333333333333333,1.6,0.0,1465.34,0.7966666666666665,0.3600000000000001,1.6666666666666667,2.6666666666666665,1.0,14.333333333333334,2.0,0.7799999999999999,243.0,0.6666666666666666,0.0,2.9433333333333334,0.2271639538075031,0.23838383838383845,0.44285714285714284,0.7222222222222223,0.3281573769157658,0.19444444444444445,0.45744975349980166,0.13325144732322172,0.3333333333333333,1.6,0.0,1465.34,0.951,0.41600000000000004,2.2800000000000002,3.1799999999999997,1.4200000000000002,14.680000000000001,1.8199999999999998,0.7848,279.84000000000003,1.2,0.6,2.0637999999999996,0.38029115433038124,0.3450815850815851,0.44100840336134456,0.5912280701754387,0.3945501715839346,0.25,0.4918030085308967,0.3400241284671931,0.3333333333333333,1.6,0.0,1464.6779999999999,0.0,-0.20799999999999996,0.41489817027499376,1465.34,3.28
RD Congo,0.6,Visitante,2026-06-24 00:01:00,1,1.308,0.48916666666666664,3.3277777777777775,4.991666666666666,1.2972222222222223,14.305555555555555,2.036111111111111,0.8515555555555555,354.30833333333334,1.2222222222222223,1.7777777777777777,0.8325833333333333,0.598989806405655,0.5864159477980616,0.5663577200402562,0.4517483901419119,0.48770999510378565,0.6685185185185185,0.5233413481104435,0.7110285315466431,0.4074074074074074,1.4796296296296296,0.0,1415.433888888889,0.6199999999999996,0.3049999999999998,1.5,4.0,1.0,13.0,4.0,0.77,210.5,0.5,0.5,0.815,0.4232212475633529,0.3833333333333334,0.4444444444444444,0.4444444444444444,0.26775309356908134,0.24999999999999997,0.461059391713596,0.22368709721650898,0.3333333333333333,1.6,0.0,1478.35,0.58,0.37000000000000005,2.3333333333333335,5.0,1.0,14.0,3.0,0.79,261.6666666666667,0.6666666666666666,0.3333333333333333,0.6400000000000001,0.4931179625105897,0.446031746031746,0.5555555555555555,0.37962962962962954,0.3453979816824595,0.27777777777777773,0.47535025737459663,0.37392147944515236,0.3333333333333333,1.6,0.0,1478.35,0.8039999999999999,0.40199999999999997,2.8,4.8,0.6,13.4,2.6,0.7979999999999999,309.4,0.4,0.6,0.606,0.5628045754157613,0.5319047619047619,0.5166666666666666,0.3801587301587301,0.3834971972678839,0.36666666666666664,0.48434962971658707,0.46327061398261443,0.3333333333333333,1.6,0.0,1476.3239999999998,0.4,-0.21200000000000002,0.4740061162079507,1478.35,5.53
Canadá,0.75,Visitante,2026-06-24 00:01:00,1,1.6143111111111113,0.5217777777777778,4.9511111111111115,6.408888888888888,1.9711111111111113,13.826666666666668,2.151111111111111,0.8227555555555556,350.00666666666666,2.0,1.8222222222222222,1.0281333333333333,0.6009029564370615,0.5978529293534278,0.6066732839324485,0.40910757502155354,0.5288082162051623,0.6518518518518518,0.5099274539971366,0.7089201096095191,0.4037037037037037,1.62,0.0,1452.3664444444444,3.13,0.6199999999999999,8.5,13.0,1.5,11.0,1.0,0.855,393.0,3.5,1.5,0.6700000000000002,0.7757395743156512,0.8181818181818186,0.8638888888888889,0.1250000000000001,0.6277122879644588,0.6666666666666667,0.5011818013897644,0.6414172381590242,0.3333333333333333,1.6,0.0,1556.48,2.4966666666666666,0.6166666666666667,7.0,11.666666666666666,1.6666666666666667,10.666666666666666,1.3333333333333333,0.8166666666666668,365.3333333333333,2.6666666666666665,1.3333333333333333,0.7733333333333331,0.7026800782013843,0.7359307359307358,0.8066951566951567,0.3055555555555555,0.6328593676332908,0.6111111111111112,0.5104537095138375,0.6195230721110401,0.3333333333333333,1.6,0.0,1556.48,1.9260000000000002,0.608,5.4,10.8,1.8,10.0,1.6,0.826,381.4,2.2,1.6,0.974,0.6041060367358936,0.6548917748917749,0.774017094017094,0.3833333333333333,0.6275865446359933,0.6666666666666667,0.5132924851797115,0.6284601550588074,0.3333333333333333,1.6,0.0,1556.48,0.2,0.49499999999999994,1.9389075491437693,1556.48,7.64
Catar,0.7,Visitante,2026-06-24 00:01:00,1,1.3852,0.5448571428571428,4.285714285714286,4.714285714285714,1.8714285714285714,11.085714285714285,2.5142857142857142,0.7625714285714286,348.37142857142857,1.6,1.7142857142857142,1.1313714285714285,0.5424148734656632,0.5004404465749004,0.515827664399093,0.5468820861678004,0.5488788352988199,0.5511111111111111,0.523952151374991,0.5066286030070772,0.4380952380952381,1.8485714285714288,0.0,1449.3945714285715,0.49499999999999955,0.3350000000000002,1.5,3.0,1.0,12.0,3.5,0.745,237.5,0.5,0.0,2.6399999999999997,0.2883388181427958,0.1875,0.27500000000000013,0.8,0.30940135875486074,0.125,0.4976549318254281,0.1054438690491335,0.3333333333333333,1.6,0.0,1454.96,0.5300000000000001,0.32999999999999996,2.0,3.0,1.3333333333333333,12.0,4.0,0.7366666666666667,225.0,0.6666666666666666,0.3333333333333333,2.8266666666666667,0.24485745770923226,0.225,0.2602564102564103,0.7416666666666667,0.29796862706536803,0.25,0.4879975398389332,0.08913136071752015,0.3333333333333333,1.6,0.0,1454.96,0.598,0.4119999999999999,1.6,3.0,1.5,12.4,3.4,0.792,296.8,0.4,0.4,2.304,0.2751550272464252,0.23499999999999996,0.3018681318681319,0.7283333333333333,0.3958111852239467,0.25,0.5020026231992019,0.2239305415803241,0.3333333333333333,1.6,0.0,1454.96,0.0,-0.0040000000000000036,0.35734911926075624,1454.96,0.766
Bosnia-Herzegovina,1.0,Local,2026-06-24 00:01:00,1,1.253391304347826,0.4856521739130435,4.1521739130434785,4.869565217391305,2.3152173913043477,13.197826086956523,1.9217391304347828,0.8042391304347826,357.26521739130436,1.2173913043478262,1.173913043478261,1.2891521739130436,0.48770159855536077,0.5187787755722538,0.52589205226505,0.4504380671899853,0.4924805300739269,0.46526915113871636,0.4958969486827112,0.5870368805994319,0.3079710144927536,1.363768115942029,0.0,1373.9139130434783,0.4549999999999998,0.4599999999999999,4.0,4.0,1.5,13.5,2.5,0.845,369.5,2.0,1.5,1.4150000000000005,0.28470109923204345,0.4625000000000001,0.4000000000000001,0.5,0.453309960067729,0.475,0.47220887363649855,0.5929418427233634,0.3333333333333333,1.6,0.0,1385.84,0.6300000000000002,0.4366666666666667,3.6666666666666665,4.0,2.0,15.666666666666666,2.0,0.7733333333333334,303.6666666666667,1.6666666666666667,1.3333333333333333,1.3533333333333335,0.3376137041637454,0.4511904761904762,0.36923076923076925,0.4444444444444444,0.4211554643881678,0.48333333333333334,0.47180674050367105,0.5367163151438851,0.3333333333333333,1.6,0.0,1385.84,0.9428000000000001,0.506,4.0,4.8,1.2,14.02,2.2800000000000002,0.8089999999999999,372.64,1.2,1.2,1.1805999999999996,0.44905932029502854,0.5040476190476191,0.46013495276653166,0.4673202614379085,0.5063652658121158,0.49000000000000005,0.4782947974260748,0.64443907303209,0.3333333333333333,1.6,0.0,1385.84,0.0,-0.2878,0.3630151241848202,1385.84,5.63
Suiza,1.0,Local,2026-06-24 00:01:00,1,1.5782745098039217,0.5701960784313725,4.627450980392157,5.588235294117647,1.8980392156862744,11.372549019607844,2.372549019607843,0.8649019607843137,482.72549019607845,1.7058823529411764,1.6470588235294117,1.051843137254902,0.605539190445943,0.5880605777664601,0.5758877964646495,0.4504746342981637,0.6012180304326101,0.5857142857142857,0.5265791027184762,0.6102948546733867,0.3758169934640523,1.5594771241830065,0.0,1634.131568627451,1.59,0.585,5.5,4.5,1.0,13.0,4.0,0.855,442.5,3.0,3.0,0.9450000000000002,0.6512205083095095,0.5318181818181819,0.4611111111111111,0.5750000000000002,0.6095763932129514,0.7333333333333334,0.5289543931483089,0.6601970500684788,0.3333333333333333,1.6,0.0,1649.4,2.126666666666667,0.6166666666666667,6.0,6.333333333333333,1.0,12.333333333333334,3.6666666666666665,0.8733333333333334,470.6666666666667,2.3333333333333335,2.3333333333333335,0.8300000000000001,0.714848759925638,0.5878787878787878,0.5638176638176637,0.5083333333333333,0.6480165409131736,0.6555555555555556,0.529742010143558,0.7546292520275547,0.3333333333333333,1.6,0.0,1649.4,1.7080000000000002,0.608,4.4,5.6,1.52,11.0,2.6,0.8779999999999999,500.8,1.6,1.8,0.806,0.6632276233023215,0.5727272727272726,0.5605128205128205,0.4716666666666667,0.6302709899143135,0.5933333333333334,0.5231387151982656,0.6870812288714354,0.3333333333333333,1.6,0.0,1650.458,0.2,0.14000000000000004,1.0074293097450677,1649.4,12.79
Corea del Sur,0.7,Visitante,2026-06-25 00:01:00,1,1.8127555555555555,0.6655555555555556,5.666666666666667,7.2444444444444445,1.3377777777777777,11.466666666666667,1.488888888888889,0.8201333333333333,517.0600000000001,1.8444444444444446,1.9333333333333333,0.7240444444444445,0.7227187601757573,0.7062626262626263,0.7174943683767214,0.2778691678691679,0.675374068045345,0.6470370370370371,0.5380289147319992,0.7921782995471356,0.4185185185185185,1.6696296296296298,0.0,1541.2555555555555,0.91,0.63,2.5,4.0,1.5,8.0,3.0,0.865,564.5,0.0,0.0,0.8400000000000003,0.5379885814668424,0.380952380952381,0.8,0.6,0.6406458640803991,0.0,0.5061008784193088,0.5796086809338015,0.3333333333333333,1.6,0.0,1588.66,1.3733333333333333,0.6233333333333334,3.6666666666666665,4.0,1.3333333333333333,8.333333333333334,3.0,0.8666666666666667,532.6666666666666,0.6666666666666666,1.0,0.8366666666666669,0.6036004813612815,0.45396825396825397,0.6814814814814816,0.5428571428571428,0.6507500801070091,0.2222222222222222,0.5087748504551831,0.5280525969264792,0.3333333333333333,1.6,0.0,1588.66,1.196,0.608,4.0,5.2,1.6,10.6,1.8,0.8540000000000001,485.8,0.6,1.2,0.608,0.6695457715510889,0.6057142857142856,0.6888888888888889,0.32571428571428573,0.6267195492062279,0.3333333333333333,0.5186169609466996,0.5791113362199637,0.3333333333333333,1.6,0.0,1590.818,0.4,0.016000000000000025,0.501998185696423,1588.66,5.35
República Checa,1.0,Local,2026-06-25 00:01:00,2,1.5874347826086959,0.5023913043478261,4.8478260869565215,5.586956521739131,1.7304347826086954,13.434782608695652,2.284782608695652,0.7902173913043479,357.10869565217394,1.5,1.4782608695652173,1.1265869565217392,0.5702594126348262,0.5602433496455236,0.6176226852857287,0.429168657429527,0.5041971341161766,0.5409420289855073,0.5154307711671064,0.579871158551257,0.39855072463768115,1.6282608695652174,0.0,1487.0604347826086,0.7500000000000009,0.4499999999999999,2.0,5.0,0.5,10.5,2.5,0.8200000000000001,302.5,0.5,0.5,1.565,0.3201233183856502,0.2976190476190476,0.6666666666666666,0.6333333333333333,0.4254901960784314,0.25000000000000006,0.49199843390234255,0.6441010903457132,0.3333333333333333,1.6,0.0,1501.38,0.7766666666666664,0.43,2.6666666666666665,5.0,0.3333333333333333,12.333333333333334,3.0,0.7799999999999999,278.3333333333333,0.6666666666666666,0.3333333333333333,1.8099999999999998,0.30180745187371355,0.33174603174603173,0.6296296296296297,0.6126984126984126,0.3933406266655446,0.27777777777777785,0.4899580244259177,0.6210872505931971,0.3333333333333333,1.6,0.0,1501.38,1.1060000000000003,0.434,3.6,4.8,0.4,15.0,3.4200000000000004,0.764,328.6,1.2,1.0,1.5124,0.4196019129846933,0.38571428571428573,0.705050505050505,0.6104761904761904,0.4048141088320717,0.4166666666666667,0.4991905296182864,0.6263886493443472,0.3333333333333333,1.6,0.0,1498.5040000000001,0.0,-0.24500000000000002,0.47246035441373885,1501.38,7.24
Haití,0.75,Visitante,2026-06-25 00:01:00,1,1.576032258064516,0.48709677419354835,5.641935483870968,4.725806451612903,1.8741935483870968,14.04516129032258,2.2806451612903227,0.8513548387096774,342.90645161290325,2.3225806451612905,1.6774193548387097,1.0861612903225806,0.5727220169361379,0.6202702464477395,0.5475068940317973,0.38800188364071414,0.4842175271860109,0.5728494623655914,0.5157563238359912,0.698129515827098,0.4301075268817204,1.8774193548387097,0.0,1281.5006451612903,0.45,0.37,2.5,2.500000000000001,3.0,16.0,5.0,0.815,265.0,1.0,0.0,2.755,0.1337015755751647,0.2644230769230769,0.3,0.6444444444444445,0.3557346767422334,0.16666666666666669,0.4234805534998289,0.08389977828684125,0.3333333333333333,1.6,0.0,1291.71,0.6466666666666666,0.4266666666666666,2.3333333333333326,2.9999999999999996,2.3333333333333335,18.333333333333332,3.6666666666666665,0.8266666666666668,299.0,0.6666666666666666,0.0,2.186666666666667,0.25500360221757395,0.3429487179487179,0.3904761904761904,0.5407407407407407,0.41865991308038114,0.11111111111111112,0.4366432151035539,0.13830866445176385,0.3333333333333333,1.6,0.0,1291.71,0.7687999999999998,0.44399999999999995,2.3999999999999995,3.46,1.9,16.16,3.3200000000000003,0.8336,310.0,1.4,0.6,1.629,0.3693628183628432,0.3567496229260935,0.44705167173252275,0.6140996168582376,0.4370229725783278,0.33333333333333337,0.45640526638746926,0.33226893851528755,0.3333333333333333,1.6,0.0,1291.71,0.0,-0.1548,0.28552715066418327,1291.71,2.15
México,0.75,Visitante,2026-06-25 00:01:00,2,1.6616500000000003,0.58125,5.375,5.375,2.035,13.9,1.825,0.85025,422.6,1.45,2.175,0.692075,0.7013331362477488,0.6824226263932147,0.6172358891108891,0.31638087606837606,0.604056803704685,0.7150000000000001,0.5354082451943578,0.6909810114735977,0.44375,1.4991666666666668,0.0,1650.1985,1.135,0.44999999999999996,4.5,0.5,0.5,11.0,1.5,0.835,339.5,2.0,3.0,0.6950000000000001,0.5741948634325316,0.75,0.08333333333333354,0.3666666666666667,0.4573514545051547,1.0,0.5211753283229313,0.5422604380358986,0.3333333333333333,1.6,0.0,1681.03,1.2433333333333336,0.5033333333333334,4.333333333333333,1.3333333333333333,0.6666666666666666,11.333333333333334,1.6666666666666667,0.8566666666666668,382.0,2.0,3.0,0.49,0.6988138916390039,0.7222222222222222,0.3055555555555555,0.41111111111111115,0.5155459854572029,1.0,0.5275809050593941,0.6268791269753887,0.3333333333333333,1.6,0.0,1681.03,1.502,0.554,5.6,3.8,1.0,12.8,1.6,0.882,436.0,2.6,3.0,0.4280000000000001,0.7607906465582421,0.7537878787878788,0.5047619047619047,0.31333333333333335,0.5651816150998757,0.9666666666666666,0.5330094180308861,0.5636724801869322,0.3333333333333333,1.6,0.0,1681.03,0.8,-0.12799999999999997,0.6830559985556524,1681.03,7.38
