Equipo,P_Campeon_Media,P_Campeon_Min,P_Campeon_Max,IC_95_Ancho
Inglaterra,18.3,18.0,19.0,1.0
España,11.8,11.4,12.1,0.7
Argentina,11.8,11.2,12.4,1.1
Francia,10.6,10.5,10.9,0.4
Brasil,7.6,7.1,7.9,0.7
Alemania,6.3,6.0,7.0,0.9
Bélgica,6.1,5.8,6.4,0.6
Países Bajos,4.5,4.1,4.8,0.6
Colombia,3.8,3.6,4.1,0.5
Portugal,3.4,3.0,3.7,0.6
Marruecos,2.8,2.5,3.3,0.7
Croacia,2.3,2.2,2.4,0.2
México,2.2,2.0,2.5,0.5
Suiza,1.4,1.3,1.5,0.2
Japón,1.2,1.1,1.7,0.5
Senegal,1.1,0.8,1.3,0.5
EE. UU.,1.0,0.9,1.1,0.2
Canadá,0.7,0.5,0.8,0.3
Argelia,0.6,0.5,0.7,0.2
Ecuador,0.5,0.4,0.5,0.1
Costa de Marfil,0.5,0.4,0.6,0.2
Suecia,0.4,0.3,0.4,0.1
Noruega,0.3,0.2,0.4,0.2
Australia,0.2,0.2,0.3,0.1
Austria,0.1,0.1,0.2,0.1
Sudáfrica,0.1,0.1,0.1,0.0
Egipto,0.1,0.1,0.2,0.1
Bosnia-Herzegovina,0.1,0.0,0.1,0.1
Cabo Verde,0.0,0.0,0.1,0.1
RD Congo,0.0,0.0,0.0,0.0
Ghana,0.0,0.0,0.0,0.0
Paraguay,0.0,0.0,0.0,0.0
