Fase,Fechas,Local,Visitante,Marcador,Avanza,xG_L,xG_V,Prob_1,Prob_X,Prob_2,P_Avanza_L,P_Avanza_V,Upset,Detalle
Dieciseisavos,28 jun – 3 jul,Alemania,Paraguay,2-0,Alemania,2.03,0.76,74.5,17.1,8.4,83.8,16.2,19.4,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Francia,Suecia,2-1,Francia,2.09,1.02,65.8,20.4,13.8,76.7,23.3,30.4,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Sudáfrica,Canadá,0-1,Canadá,0.93,1.43,24.6,27.9,47.5,38.1,61.9,61.5,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Países Bajos,Marruecos,1-1 (pen),Países Bajos,1.57,1.06,33.6,43.2,23.2,55.6,44.4,79.9,Empate → penaltis
Dieciseisavos,28 jun – 3 jul,Portugal,Croacia,1-1 (pen),Portugal,1.72,1.26,36.1,38.5,25.4,55.7,44.3,79.5,Empate → penaltis
Dieciseisavos,28 jun – 3 jul,España,Austria,3-0,España,2.25,0.95,72.4,17.4,10.2,81.7,18.3,22.3,Tiempo regular
Dieciseisavos,28 jun – 3 jul,EE. UU.,Bosnia-Herzegovina,2-0,EE. UU.,1.82,0.97,56.9,23.9,19.1,69.5,30.5,43.9,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Bélgica,Senegal,2-0,Bélgica,1.69,0.87,53.2,26.1,20.7,66.8,33.2,49.6,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Brasil,Japón,1-0,Brasil,1.41,0.9,44.5,35.4,20.1,62.9,37.1,59.0,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Costa de Marfil,Noruega,2-1,Costa de Marfil,1.19,1.52,39.0,25.6,35.4,51.9,48.1,92.7,Tiempo regular
Dieciseisavos,28 jun – 3 jul,México,Ecuador,1-1 (pen),México,1.37,1.14,37.2,37.3,25.5,56.2,43.8,77.9,Empate → penaltis
Dieciseisavos,28 jun – 3 jul,Inglaterra,RD Congo,2-0,Inglaterra,1.81,0.43,84.6,9.8,5.5,90.0,10.0,11.2,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Argentina,Cabo Verde,2-0,Argentina,2.03,0.46,77.8,13.8,8.3,85.3,14.7,17.2,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Australia,Egipto,1-0,Australia,1.01,1.17,41.3,26.1,32.6,54.5,45.5,83.3,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Suiza,Argelia,1-0,Suiza,1.19,1.05,41.0,31.8,27.3,57.2,42.8,74.9,Tiempo regular
Dieciseisavos,28 jun – 3 jul,Colombia,Ghana,2-0,Colombia,1.59,0.6,76.6,13.7,9.7,84.0,16.0,19.1,Tiempo regular
Octavos,4 – 7 jul,Alemania,Francia,1-2,Francia,1.12,1.7,21.1,35.9,43.1,38.4,61.6,62.3,Tiempo regular
Octavos,4 – 7 jul,Canadá,Países Bajos,1-2,Países Bajos,0.98,2.31,22.8,31.7,45.5,38.1,61.9,61.6,Tiempo regular
Octavos,4 – 7 jul,Portugal,España,1-2,España,1.2,1.84,17.7,37.6,44.7,35.7,64.3,55.5,Tiempo regular
Octavos,4 – 7 jul,EE. UU.,Bélgica,0-2,Bélgica,0.91,2.05,18.7,27.5,53.8,31.8,68.2,46.7,Tiempo regular
Octavos,4 – 7 jul,Brasil,Costa de Marfil,2-0,Brasil,1.85,0.64,71.0,20.6,8.4,82.1,17.9,21.8,Tiempo regular
Octavos,4 – 7 jul,México,Inglaterra,0-2,Inglaterra,0.83,1.69,21.7,28.9,49.3,35.6,64.4,55.3,Tiempo regular
Octavos,4 – 7 jul,Argentina,Australia,2-0,Argentina,1.88,0.78,71.4,17.6,11.0,80.8,19.2,23.8,Tiempo regular
Octavos,4 – 7 jul,Suiza,Colombia,1-1 (pen),Colombia,1.23,1.35,28.1,38.3,33.6,47.1,52.9,89.0,Empate → penaltis
Cuartos,9 – 11 jul,Francia,Países Bajos,1-1 (pen),Francia,1.63,1.29,36.8,40.5,22.7,57.6,42.4,73.8,Empate → penaltis
Cuartos,9 – 11 jul,España,Bélgica,2-1,España,1.61,1.32,39.8,36.4,23.8,58.5,41.5,71.0,Tiempo regular
Cuartos,9 – 11 jul,Brasil,Inglaterra,1-2,Inglaterra,1.08,1.51,21.1,38.5,40.4,39.7,60.3,65.9,Tiempo regular
Cuartos,9 – 11 jul,Argentina,Colombia,2-1,Argentina,1.49,1.08,44.7,30.1,25.3,60.1,39.9,66.4,Tiempo regular
Semifinales,14 – 15 jul,Francia,España,1-1 (pen),España,1.44,1.41,25.1,46.3,28.6,48.1,51.9,92.6,Empate → penaltis
Semifinales,14 – 15 jul,Inglaterra,Argentina,2-1,Inglaterra,1.61,1.1,45.1,30.4,24.5,60.8,39.2,64.6,Tiempo regular
3er Puesto,18 jul,Francia,Argentina,1-1 (pen),Francia,1.54,1.27,35.8,38.9,25.3,55.5,44.5,80.0,Empate → penaltis
Final,19 jul,España,Inglaterra,1-1 (pen),Inglaterra,1.26,1.48,28.4,41.1,30.6,48.8,51.2,95.4,Empate → penaltis
